time,Cid,hits
2016-07-06,6,2554
2017-06-08,2,82560
2017-06-08,3,41331
2018-01-10,1,8941
2018-01-23,2,13598
2018-03-02,5,27341
2018-03-13,2,19350
2018-04-08,5,32597
2018-05-11,5,17543
2018-07-26,2,23556
2018-08-08,2,8882
2018-08-10,1,9582
2018-08-16,3,13650
2018-08-21,3,22899
2018-08-23,2,19873
2018-10-01,5,5793
2018-10-24,2,12349
2018-11-12,5,11928
2018-11-29,5,8953
2018-11-30,3,4117
2018-11-30,5,10818
2018-12-05,3,54397
2018-12-10,3,3528
2018-12-17,1,2678
2018-12-17,2,7865
2018-12-17,5,13236
2018-12-20,4,2327
2018-12-21,1,4358
2018-12-24,2,38201
2018-12-24,3,3300
2018-12-26,5,6785
2018-12-27,1,7179
2018-12-27,3,6743
2018-12-28,1,3511
2018-12-28,3,14377
2018-12-31,3,3170
2019-01-02,1,2294
2019-01-02,5,4481
2019-01-03,1,4019
2019-01-03,2,7660
2019-01-03,3,2576
2019-01-03,5,4198
2019-01-03,8,3587
2019-01-04,1,5269
2019-01-04,3,6425
2019-01-04,5,5358
2019-01-07,1,4218
2019-01-07,3,11358
2019-01-07,10,525
2019-01-08,1,11863
2019-01-08,2,10516
2019-01-08,3,8042
2019-01-08,5,9808
2019-01-09,1,8476
2019-01-09,3,21967
2019-01-09,8,1958
2019-01-10,1,6280
2019-01-10,3,10523
2019-01-10,5,5028
2019-01-10,6,2256
2019-01-11,1,2733
2019-01-11,3,4813
2019-01-11,5,24091
2019-01-11,8,2192
2019-01-12,1,1400
2019-01-14,1,8601
2019-01-14,2,21458
2019-01-14,3,3660
2019-01-14,5,9263
2019-01-14,8,3692
2019-01-15,1,4578
2019-01-15,3,3148
2019-01-15,5,21465
2019-01-15,8,4374
2019-01-15,10,897
2019-01-16,1,4301
2019-01-16,5,7239
2019-01-17,1,5662
2019-01-17,2,11497
2019-01-17,8,3525
2019-01-18,1,9944
2019-01-18,2,5416
2019-01-18,3,11914
2019-01-21,1,16852
2019-01-21,2,15106
2019-01-21,4,9474
2019-01-21,5,12312
2019-01-22,1,5945
2019-01-22,3,10215
2019-01-23,1,3149
2019-01-23,2,39816
2019-01-23,5,8315
2019-01-23,6,3883
2019-01-23,8,1850
2019-01-23,10,487
2019-01-24,1,6813
2019-01-24,2,58634
2019-01-24,5,10427
2019-01-24,10,675
2019-01-25,1,13671
2019-01-25,2,14243
2019-01-25,5,5978
2019-01-25,10,1954
2019-01-28,1,10489
2019-01-28,2,77023
2019-01-29,1,8837
2019-01-29,5,8394
2019-01-29,8,1602
2019-01-30,1,6623
2019-01-30,2,18331
2019-01-30,3,18033
2019-01-30,5,16485
2019-01-30,8,1548
2019-01-31,1,16988
2019-01-31,2,22879
2019-01-31,3,5560
2019-01-31,5,6352
2019-01-31,8,1578
2019-02-01,1,5682
2019-02-01,2,6831
2019-02-05,8,1838
2019-02-07,1,8716
2019-02-07,3,3917
2019-02-07,4,12467
2019-02-07,5,10670
2019-02-07,6,4266
2019-02-07,10,1031
2019-02-08,1,24080
2019-02-08,2,18872
2019-02-08,4,2196
2019-02-08,5,13556
2019-02-08,8,3155
2019-02-11,1,19232
2019-02-11,2,5806
2019-02-11,3,4878
2019-02-11,6,2324
2019-02-11,8,3465
2019-02-11,10,2598
2019-02-12,1,13915
2019-02-12,3,26649
2019-02-12,8,1776
2019-02-13,1,10480
2019-02-13,2,5345
2019-02-13,3,7784
2019-02-13,5,5573
2019-02-13,8,1619
2019-02-13,10,817
2019-02-14,1,14334
2019-02-14,2,7061
2019-02-14,3,7554
2019-02-14,5,7202
2019-02-14,8,3255
2019-02-15,1,14310
2019-02-15,2,22915
2019-02-15,3,4440
2019-02-15,5,11242
2019-02-15,8,1673
2019-02-17,8,1590
2019-02-18,1,22184
2019-02-18,3,4551
2019-02-18,5,16919
2019-02-18,8,1873
2019-02-19,1,9100
2019-02-19,3,3575
2019-02-19,8,3275
2019-02-20,2,7522
2019-02-20,3,9051
2019-02-21,1,9967
2019-02-21,2,19071
2019-02-21,3,6695
2019-02-21,4,3081
2019-02-21,5,12566
2019-02-21,10,546
2019-02-22,1,10340
2019-02-22,5,19992
2019-02-22,8,1829
2019-02-25,1,14827
2019-02-25,2,11404
2019-02-25,3,13919
2019-02-25,10,474
2019-02-26,1,15486
2019-02-26,2,82389
2019-02-26,5,17676
2019-02-26,10,714
2019-02-27,1,15238
2019-02-27,3,7126
2019-02-28,1,6696
2019-02-28,2,42322
2019-02-28,3,5137
2019-02-28,5,7448
2019-02-28,10,535
2019-03-04,1,15935
2019-03-04,3,3833
2019-03-04,5,10922
2019-03-04,10,599
2019-03-05,1,16077
2019-03-05,2,13260
2019-03-05,3,10650
2019-03-05,5,33734
2019-03-05,8,1668
2019-03-06,1,15432
2019-03-06,3,5601
2019-03-06,8,1523
2019-03-07,1,16994
2019-03-07,2,5498
2019-03-07,3,12035
2019-03-07,5,28722
2019-03-07,8,1874
2019-03-08,1,5246
2019-03-08,3,6640
2019-03-08,5,6077
2019-03-08,8,3610
2019-03-08,10,788
2019-03-09,1,1873
2019-03-11,1,11333
2019-03-11,2,36438
2019-03-11,3,3539
2019-03-11,6,3252
2019-03-11,8,1776
2019-03-11,10,319
2019-03-12,1,9638
2019-03-12,3,4477
2019-03-12,5,41732
2019-03-12,8,2739
2019-03-12,10,407
2019-03-13,1,2549
2019-03-13,2,33823
2019-03-13,3,3859
2019-03-13,8,1719
2019-03-14,1,10740
2019-03-14,2,5889
2019-03-14,3,13339
2019-03-14,5,5896
2019-03-14,8,1852
2019-03-15,1,13363
2019-03-15,2,5046
2019-03-15,3,6201
2019-03-15,8,1765
2019-03-16,1,2626
2019-03-18,1,8149
2019-03-18,2,8335
2019-03-18,3,7659
2019-03-18,5,11412
2019-03-18,8,3619
2019-03-19,1,13469
2019-03-19,2,12285
2019-03-19,3,2272
2019-03-19,5,4833
2019-03-19,8,1680
2019-03-20,1,5854
2019-03-20,2,8871
2019-03-20,3,4944
2019-03-20,10,650
2019-03-21,1,1703
2019-03-21,2,13298
2019-03-21,3,2937
2019-03-21,5,7047
2019-03-22,1,6587
2019-03-22,2,4852
2019-03-22,3,6890
2019-03-22,8,1773
2019-03-25,1,16234
2019-03-25,3,2153
2019-03-25,8,1714
2019-03-26,1,14000
2019-03-26,3,3507
2019-03-26,5,13136
2019-03-26,8,1704
2019-03-27,1,7951
2019-03-27,2,207
2019-03-28,1,19308
2019-03-29,1,25501
2019-03-29,2,5993
2019-03-29,3,8139
2019-03-29,5,7738
2019-03-29,8,3741
2019-03-29,10,271
2019-03-31,8,1712
2019-04-01,1,12204
2019-04-01,2,25136
2019-04-01,5,29922
2019-04-01,8,3563
2019-04-02,1,3514
2019-04-02,4,2889
2019-04-02,5,6557
2019-04-02,8,6310
2019-04-03,1,10887
2019-04-03,3,23777
2019-04-03,5,5154
2019-04-03,8,1681
2019-04-04,1,3740
2019-04-04,2,8399
2019-04-04,3,3151
2019-04-04,8,3474
2019-04-04,10,1145
2019-04-05,1,9260
2019-04-05,2,12763
2019-04-05,3,7179
2019-04-05,4,5750
2019-04-08,1,16618
2019-04-08,2,18535
2019-04-08,3,5485
2019-04-08,5,14956
2019-04-09,1,12124
2019-04-09,10,584
2019-04-10,1,4178
2019-04-10,3,9157
2019-04-10,5,5309
2019-04-10,10,301
2019-04-11,1,16096
2019-04-11,5,4634
2019-04-12,2,6973
2019-04-12,8,1912
2019-04-15,1,12374
2019-04-15,3,4651
2019-04-15,5,9312
2019-04-16,1,11475
2019-04-16,8,3801
2019-04-16,10,312
2019-04-17,2,9398
2019-04-17,5,21641
2019-04-17,8,1767
2019-04-17,10,234
2019-04-18,1,7146
2019-04-18,5,10580
2019-04-18,8,1762
2019-04-18,10,582
2019-04-19,1,5977
2019-04-19,2,11554
2019-04-19,8,1713
2019-04-21,8,1712
2019-04-22,1,31158
2019-04-22,3,12359
2019-04-22,5,5313
2019-04-23,1,19664
2019-04-23,3,3506
2019-04-23,10,347
2019-04-24,1,6216
2019-04-24,2,5218
2019-04-24,5,9712
2019-04-24,8,3591
2019-04-24,10,725
2019-04-25,1,3579
2019-04-25,2,6456
2019-04-25,3,4022
2019-04-25,5,5870
2019-04-25,8,1979
2019-04-26,1,6204
2019-04-26,2,4878
2019-04-26,3,1882
2019-04-26,4,25381
2019-04-26,5,10389
2019-04-29,1,19076
2019-04-29,2,10814
2019-04-29,3,5147
2019-04-29,5,4729
2019-04-29,10,502
2019-04-30,1,28090
2019-04-30,2,5342
2019-04-30,3,11557
2019-04-30,8,1704
2019-04-30,10,410
2019-05-01,1,21158
2019-05-01,3,5082
2019-05-01,4,2535
2019-05-01,5,13488
2019-05-02,1,24871
2019-05-02,2,19922
2019-05-02,4,4298
2019-05-02,5,4870
2019-05-02,10,261
2019-05-03,1,11725
2019-05-03,2,7059
2019-05-03,8,1698
2019-05-03,10,539
2019-05-07,1,24074
2019-05-07,2,5343
2019-05-07,5,5424
2019-05-07,10,385
2019-05-09,1,10161
2019-05-09,3,1989
2019-05-09,8,1735
2019-05-09,10,1058
2019-05-10,1,8860
2019-05-10,2,22708
2019-05-10,4,2636
2019-05-10,5,4578
2019-05-10,8,1661
2019-05-10,10,242
2019-05-11,1,2074
2019-05-13,1,5948
2019-05-13,2,15257
2019-05-13,3,2922
2019-05-13,10,337
2019-05-14,1,25505
2019-05-14,5,7855
2019-05-14,10,745
2019-05-15,1,6612
2019-05-15,2,9188
2019-05-15,3,10029
2019-05-15,5,4944
2019-05-15,8,3192
2019-05-16,1,23345
2019-05-16,2,30065
2019-05-16,3,12501
2019-05-16,5,11161
2019-05-16,10,527
2019-05-17,1,20366
2019-05-17,2,12474
2019-05-17,3,4521
2019-05-17,6,3436
2019-05-17,8,1557
2019-05-17,10,763
2019-05-19,8,1841
2019-05-20,1,17709
2019-05-20,3,4463
2019-05-20,10,786
2019-05-21,1,8758
2019-05-21,2,6790
2019-05-21,3,10324
2019-05-21,5,4768
2019-05-21,8,3346
2019-05-21,10,178
2019-05-22,1,17692
2019-05-22,2,16811
2019-05-22,3,3609
2019-05-22,5,4809
2019-05-22,8,1724
2019-05-22,10,962
2019-05-23,1,8684
2019-05-23,2,12048
2019-05-23,3,7428
2019-05-23,5,4802
2019-05-23,6,3370
2019-05-23,10,237
2019-05-24,1,7999
2019-05-24,2,17561
2019-05-24,5,10224
2019-05-24,8,1859
2019-05-24,10,951
2019-05-27,1,25067
2019-05-27,2,18061
2019-05-27,3,3643
2019-05-27,5,9252
2019-05-27,8,1624
2019-05-28,1,11314
2019-05-28,2,41206
2019-05-28,5,17778
2019-05-28,6,2962
2019-05-28,10,972
2019-05-29,1,10486
2019-05-29,3,7310
2019-05-29,4,5406
2019-05-29,5,7041
2019-05-29,6,1075
2019-05-29,8,3238
2019-05-30,1,2496
2019-05-30,8,1980
2019-05-31,1,4324
2019-05-31,3,5508
2019-05-31,5,6979
2019-05-31,8,1841
2019-06-03,1,14785
2019-06-03,2,41265
2019-06-03,3,5694
2019-06-03,5,7155
2019-06-03,8,1952
2019-06-04,1,7310
