time,hits
2018-01,22539
2018-02,0
2018-03,46691
2018-04,32597
2018-05,17543
2018-06,0
2018-07,23556
2018-08,74886
2018-09,0
2018-10,18142
2018-11,35816
2018-12,171655
2019-01,795069
2019-02,728642
2019-03,715036
2019-04,675128
2019-05,792980
2019-06,928333
2019-07,947868
2019-08,888000
2019-09,699541
2019-10,553363
2019-11,675111
2019-12,678443
2020-01,649731
2020-02,682265
2020-03,559828
2020-04,475046
2020-05,472544
2020-06,589797
2020-07,677919
2020-08,649215
2020-09,637994
2020-10,857135
2020-11,570888
2020-12,516697
2021-01,613888
2021-02,632736
2021-03,543112
2021-04,452243
2021-05,434705
2021-06,525567
2021-07,485552
2021-08,514814
2021-09,352740
2021-10,213417
2021-11,282521
2021-12,232198
2022-01,332786
2022-02,443711
2022-03,309659
2022-04,328705
2022-05,233240
2022-06,186329
2022-07,225258
2022-08,264846
2022-09,199015
2022-10,279665
2022-11,328682
2022-12,42290
2023-01,207783
2023-02,186246
2023-03,148018
2023-04,95550
2023-05,154015
