Cid,title,hits,time,cluster
1,(예비군연대) 2023년 6월 각 군 현역병  모집계획 안내,116,2023-05-26,43
1,2023 세계스카우트잼버리 영외과정활동 「사찰문화체험」 통역 자원봉사자 모집,99,2023-05-26,25
1,「대학생 테마별 톡톡 멘토링」 참여 동아리 추가모집,180,2023-05-25,285
1,「2023년 국가간 청소년교류」 및 「글로벌 청소년 서밋」청소년 참가자 모집,174,2023-05-25,354
1,2023-1 실험실습 교과목 만족도 조사 안내 (드림패스 마일리지 지급),125,2023-05-25,140
1,[강남열린대학] 인문학특강 개최 홍보,125,2023-05-24,493
1,더 안전한 경기도 영상콘텐츠 공모,58,2023-05-24,477
1,[참사람사회공헌센터] 한국장학재단 제27기 하계 대학생 재능봉사캠프 모집 안내,299,2023-05-24,2
1,[장애학생지원센터]장애인식개선교육 수강 안내,185,2023-05-23,249
1,[모두의 연구소] 2023년 AI학교 아이펠 5기 입학생 모집(~6/9),250,2023-05-23,25
1,2023년 여름방학 대학생 교육기부 프로그램 쏙쏙캠프 참여 동아리 모집,425,2023-05-22,114
1,[교수학습혁신센터] 2023-2 혁신교수법 적용 교과목 모집 공고,204,2023-05-22,170
1,[참사람사회공헌센터] 2023 여름학기 사회봉사교과목 수강신청 안내,428,2023-05-19,153
1,동국대학교 장학 홍보대사 단체명 공모전,1072,2023-05-18,126
1,[외교부] 2024-25년 대한민국 유엔 안보리 진출 제2대 청년사절 접수,548,2023-05-18,25
1,2023 어디서든 예술치유 힐링 씨어터,238,2023-05-18,386
1,장수군 대표상징물(CI) 디자인 공모전,131,2023-05-18,308
1,올담 데이터 활용 시각화 경진대회,163,2023-05-18,257
1,그린캠퍼스(게시물 관리) 시행 안내,243,2023-05-18,486
1,[5대 핵심역량 함양 프로그램] 이제호 인권 변호사와 함께하는 문화의 다양성과 존중,198,2023-05-18,490
1,2023 날씨 빅데이터 콘테스트,306,2023-05-17,25
1,기록을 바라보는 여섯 개의 시선,268,2023-05-17,25
1,제3회 해양경찰 데이터 활용 아이디어 공모전,110,2023-05-17,257
1,2023년 청년인생설계학교 2기 참여자 모집,141,2023-05-17,445
1,2023 사이버공격방어대회 참가 안내,118,2023-05-17,25
1,웹툰 창작자 발굴 및 육성을 위한 제2회 모든 웹툰 공모전,70,2023-05-17,25
1,2023년 산림공공 빅데이터 창업경진대회,84,2023-05-17,348
1,제12회 중남미 논문공모전 홍보,50,2023-05-17,436
1,2023년 「경기도 청년 노동자 통장」 참여자 모집 안내,106,2023-05-17,445
1,[5대 핵심역량 함양 프로그램] 오세훈 서울시장의 동국대 특강,996,2023-05-16,124
1,금융감독원 제 11기 대학생 금융교육 봉사단 모집,505,2023-05-16,114
1,마약류 이용 성범죄 근절 홍보 콘텐츠 공모전,268,2023-05-15,477
1,2023년 사회정책 아이디어 공모전 개최,274,2023-05-15,220
1,써라운드 성동-누구나 누리는 기술+문화 홍보,171,2023-05-15,25
1,2023 미지맵 콘텐츠 크리에이터 모집,168,2023-05-15,58
1,2023년 통계데이터 활용대회 안내,284,2023-05-15,257
1,2023 전국 대학생 “남북교류협력 창업 아이디어 경진대회” 참가 안내,122,2023-05-15,411
1,[T-Table] COSMAX 현직자 강연에 참여해보자 !!,307,2023-05-15,25
1,"[창업교육센터] 스마트스토어 창업실전 프로그램 '나도 N잡러' 수강생 모집 (~6/9, 선착순)",340,2023-05-15,438
1,"[교수학습혁신센터] 2023-1학기 교육매체 워크숍 신청 안내(ChatGPT의 교육적 활용 방안, 저작권)",227,2023-05-15,414
1,BMC 천원의 아침밥 개시 및 서울캠퍼스 식수 인원 변경 안내,713,2023-05-12,25
1,[정각원] 불기 2567년 하안거 결계신청 및 포살법회 시행 안내,311,2023-05-11,119
1,(접수 조기마감) 5. 25. 또는 31.  예비군 훈련일 변경 희망자 추가 접수,473,2023-05-11,10
1,서울시립영등포장애인복지관 전체이용자나들이 자원봉사자 모집,201,2023-05-11,25
1,2023년 국립청소년인터넷드림마을 10기 멘토 모집,294,2023-05-11,320
1,동국대 알리미 5기 모집,495,2023-05-10,25
1,합장Day 선포 및 안내 (매달 11일),523,2023-05-10,25
1,여성특화 액셀러레이팅 프로그램 참가기업 모집 안내 (~5/12),250,2023-05-10,25
1,"Microsoft 현직자, 학교에 특강하러 직접 방문한다고?",675,2023-05-10,105
1,(예비군연대) 제414차 민방위의 날 훈련 변경 지침 안내 (대학 제외),191,2023-05-10,450
1,[참사람사회공헌센터] 2023 여름학기 사회봉사교과목 수강신청 안내,285,2023-05-10,153
1,[5대 핵심역량 함양 프로그램] 파워포인트 활용 및 SNS 콘텐츠 제작 특강,273,2023-05-10,124
1,"[날짜변경]일반대학원 학·석사연계과정 진학 설명회 안내(5/30, 17시)",437,2023-05-09,107
1,2023-후기 각 대학원 전형 일정 안내,60555,2023-05-09,72
1,[동국대학교 캠퍼스타운] 디지털영상 융복합콘텐츠 전문가 양성(VFX) - 신청자 모집 ~ 23. 06. 09.(금),269,2023-05-09,34
1,강서구 꿈드림 검정고시 대비반 학습멘토 모집 안내,317,2023-05-09,25
1,[참사람사회공헌센터] 2023 전공연계 및 동아리(소모임) 봉사프로그램 공모전 안내,317,2023-05-09,485
1,동국대학교 슬로건 공모전 결과 안내,2247,2023-05-04,7
1,국제학생증 ISIC 발급비 지원행사 안내(국제학생증 무료 발급),938,2023-05-04,344
1,서울시설공단 시민경영참여단 모집공고,304,2023-05-03,449
1,유네스코 국제무예센터 2023 제 6기 국제 청소년 무예캠프 진행요원 모집,345,2023-05-03,354
1,[5대 핵심역량 함양 프로그램] 나를 브랜딩 하는 법: 쿠팡 브랜드 디렉터가 들려주는 커리어 디자인,472,2023-05-03,124
1,LINC3.0 만족도조사 참여하고 모바일 상품권 받자! (~5/10),379,2023-05-02,460
1,[LINC3.0] 산학공동 기술개발과제 모집공고 (~5/15까지),337,2023-05-02,383
1,포스코인터내셔널 1:1 학습멘토링 대학생 봉사단 및 홍보단원 모집,380,2023-05-02,114
1,[학생역량개발팀] 23년 1학기 1:1 진로상담,591,2023-05-02,124
1,[입학실] 2023년 재학생 모교방문단 모집,5361,2023-05-01,76
1,"기획자, 자원봉사자, 시각장애인 모두 하나가 되는 삼인사각 프로그램 참여자 모집",445,2023-04-28,25
1,동국대학교 개교 117주년 기념 카카오톡 이모티콘 '아코' 배포 안내,2549,2023-04-28,276
1,[창업교육센터] '선배창업가 특강_대기업 첫 번째 퇴사와 두 번째 퇴사는 뭐가 달랐을까?' 비교과 특강 모집(~5/4(목)),405,2023-04-28,25
1,애플 디벨로퍼 아카데미(Apple Developer Academy) 3기 교육생 모집 공고,810,2023-04-27,155
1,제63주년 4·19혁명기념 추모식 및 제51회 동국인 등산대회 단체상 선정 결과 안내,723,2023-04-26,276
1,동국대 천원의 아침밥 시행! 아코야 아침먹자!,2566,2023-04-26,25
1,제 21회 서울국제걷기대회 행사 진행 자원봉사자 모집,550,2023-04-26,196
1,동국대학교 창업기술원 직원 공개모집(5/9(화) 15:00까지),257,2023-04-26,66
1,2023년 서울형 청년인턴 직무캠프 참여자 모집(~5/15),1074,2023-04-24,445
1,[참사람사회공헌센터] 2023 전공연계 및 동아리(소모임) 봉사프로그램 공모전 안내,540,2023-04-24,485
1,의정부시청소년수련관 청소년 팝업스토어 기획단 모집,228,2023-04-24,354
1,제로서울 청년 프렌즈 2기 참가자 모집,475,2023-04-24,199
1,2023년 1인가구 홍당무 마켓 셀러모집,327,2023-04-24,25
1,2024 강원 동계청소년올림픽대회 자원봉사자 모집,328,2023-04-24,25
1,2004년생 청년 대학생 대상 서울청년문화패스 안내,710,2023-04-21,240
1,(예비군연대) 2023년 5월 각 군 현역병  모집계획 안내,400,2023-04-21,43
1,[LINC 3.0] 2023 산학공동 기술개발과제 수요조사 공고(~5/1까지),319,2023-04-20,383
1,[5대 핵심역량 함양 프로그램] 나는 마트로 간다! : 30대 대기업 퇴직자의 로컬마트 창업기,605,2023-04-19,25
1,건학위원회 출범 2주년 기념식 안내,1339,2023-04-18,276
1,"동국대학교 다르마교양교육연구소 ""사회문제와 미래의 민주주의 "" 5차 특강 안내!",420,2023-04-17,317
1,[참사람사회공헌센터] 제 21회 서울국제걷기대회 행사진행 자원봉사자 모집,616,2023-04-17,91
1,[창업교육센터] '실전 창업에 필요한 우리들의 자세' 비교과 특강 모집(~4/20(목)),392,2023-04-14,438
1,[창업진흥센터] 동국대학교 창업기술원(창업진흥센터) 직원 공개모집(~4/20 15시까지),458,2023-04-13,66
1,[佛타는 동국人] 끼쟁이 동국인들의 참여를 기다립니다~!,1637,2023-04-12,420
1,[학생역량개발팀] '발표의 신으로 만들어드립니다!' 특강,846,2023-04-11,124
1,2023 국제공동수업 원격수업도우미 봉사자 모집 공고,565,2023-04-11,106
1,[정각원] 봉축 수계법회 안내(5.10/16시~),380,2023-04-11,295
1,[참사람사회공헌센터] 동국대학교 사랑의 헌혈버스 운영 안내,452,2023-04-11,190
1,제63주년 4.19혁명기념 추모식 및 제51회 동국인 등산대회,2547,2023-04-10,276
1,[참사람사회공헌센터] 2023 봄학기 사회봉사교과목 평가회 안내,305,2023-04-10,153
1,"[창업교육센터] '누구나! 동국 캠퍼스 CEO’ 비교과 특강 모집(~4/20(목), 선착순)",452,2023-04-10,66
1,[참사람사회공헌센터] 제 14회 생명나눔 걷기명상행사 참여 학생 모집,520,2023-04-07,91
1,[정각원] 불기 2567(2023)년 부처님오신날 재학생 소원등표 달기 안내,697,2023-04-07,277
1,"[고시반] 5급(공채)행정, 입법고시 1차 합격자 조사 안내",449,2023-04-07,138
1,「2023년 국가간 청소년교류」 청소년 참가자 및 통역 모집,334,2023-04-07,354
1,[경영대학] 교내 근로장학생 모집 안내,598,2023-04-06,89
1,2023년 1학기 캡스톤디자인 설명회 및 과제신청(지원금 사용) 안내[양식포함],756,2023-04-06,376
1,2022년 제16회 자랑스러운 동국가족상 접수 안내,757,2023-04-04,454
1,2023년 서울캠퍼스 난방운영 중지 안내,819,2023-04-04,34
1,(예비군연대) 2023년 학생 예비군 교육훈련 안내,1789,2023-04-03,450
1,기업 및 공공기관이 함께하는 청년 ESG 기획봉사 참여자 모집,566,2023-04-03,426
1,[교수학습혁신센터] 학습역량진단 서비스 이용 안내 (참여 마일리지 지급),416,2023-04-03,17
1,양천구 자원봉사센터 대학생 서포터즈 모집,272,2023-04-03,418
1,2023학년도 1학기 신규 학생증 발급 재개 안내(2023.04.03~2023.06.14),707,2023-03-31,344
1,"2023 옥수종합사회복지관 25주년 개관기념 행사 「함께 이어(25) 봄, 함께 걸어 봄」 대학생 자원봉사자 모집",352,2023-03-31,276
1,[법과대학 고시반] 2023-1학기 공인노무사 실무자 및 합격자 설명회,591,2023-03-29,138
1,"2023년 국립청소년인터넷드림마을 7,8기 멘토 모집",419,2023-03-29,320
1,(예비군연대) 2023년 4월 각 군 현역병  모집계획 안내,471,2023-03-29,43
1,[정각원] 불기2567(2023) 부처님오신날 봉축 연등 접수 안내,676,2023-03-29,119
1,홍보대사 동감18기 합격자 발표,1012,2023-03-24,126
1,DGU-WIFI 무선네트워크 개선 계획 안내(2023-3월),3182,2023-03-24,25
1,장충고등학교 학습지원튜터 선발안내,760,2023-03-24,25
1,[창업교육센터] 2023 창업동아리 1차 최종 선발 결과 안내,517,2023-03-23,66
1,1·3세대 통합프로그램 '동화' 참여 자원봉사자 모집,498,2023-03-23,25
